"","condition","item","sliderNorm1","sliderNorm2","sliderNorm3","sliderNorm4","sliderNorm5","sliderNorm6","sliderNorm7","sliderNorm8","sliderNorm9","sliderNorm10","sliderNorm11","sliderNorm12","sliderNorm13","sliderNorm14","sliderNorm15","condItemMeans"
"1","few","bas",0.094154039170569,0.0898532435463454,0.102018250240357,0.0976104430654893,0.103040044753509,0.0950725338851298,0.10242260189323,0.0956963507898984,0.0659088020482256,0.0573221901115722,0.0558960208557203,0.0216222809885499,0.0106523802267993,0.00568337652422829,0.00304744190037627,5.84300605951492
"2","few","book",0.191548907278124,0.173795964608579,0.152309727294159,0.1313595936075,0.113850153762396,0.0675129946379926,0.0537431094062339,0.0423097248949149,0.0296115803387569,0.0124233327501206,0.0103229430133441,0.00729239364518512,0.00466199506831887,0.00477941711744768,0.00447816257692786,3.99700555607601
"3","few","bur",0.48481752637983,0.291544603429452,0.0943531232969655,0.0460593370070943,0.0204525480607008,0.0116303177379063,0.00676651013284579,0.0060649462662069,0.00744544892802142,0.00783409239846661,0.00567725749040621,0.00530604348974464,0.00477061264719605,0.00449858496857054,0.00277904776659282,2.24128942802922
"4","few","cig",0.280717301312959,0.239046646755669,0.176954257460762,0.108428455707378,0.0756174832544202,0.0377256965467795,0.0306590347463253,0.0151422167688502,0.00874808025010656,0.00609033071252632,0.00500316738371216,0.00478368159959127,0.0039000382981849,0.00375825094561185,0.00342535825712389,3.07035119772793
"5","few","eat",0.193290563116094,0.216410766054857,0.160293791378117,0.179498315863273,0.0959449473427322,0.0520863293908819,0.0281380407581986,0.0173144393102005,0.0136987177291277,0.0119402543508817,0.0104665633495893,0.00816299728493152,0.0042349103800125,0.00425177606172336,0.00426758762937905,3.5870829272418
"6","few","edu",0.140597287994635,0.2169352029237,0.127447737970415,0.0503198683358437,0.0732312748084229,0.130501006045436,0.115221055510903,0.079344005177223,0.0199796281703892,0.012120372341379,0.0096034042542508,0.00648001548300147,0.00792633252872785,0.00501045175867096,0.00528235669700258,4.48539422889545
"7","few","girl",0.323545395919158,0.295900358668904,0.1659336892335,0.0811222686234188,0.0486985457227675,0.0310366934938216,0.0124282168868782,0.00963490157258077,0.0087312656076823,0.00557520057382994,0.00357494434900785,0.00430359127180189,0.00363343911489837,0.00339769155940372,0.00248379740234678,2.68878610648538
"8","few","hair",0.303005453163792,0.309603066034195,0.194722741355406,0.0791296585464363,0.0332566247657366,0.0217085556407934,0.0127860210653746,0.00839694692097914,0.00592598741635413,0.00582631914176921,0.00676798951433352,0.00628130279082783,0.00519205315890579,0.00395775569116132,0.00343952479393567,2.71202936294659
"9","few","kid",0.0248795838039376,0.150995317652909,0.230938403494306,0.27783747246421,0.178683708627862,0.0623759685964286,0.0249486554463735,0.0127990916817943,0.00734572168779982,0.00676728753899334,0.00398669413455761,0.00477129839172384,0.00461784256342827,0.00443847011615156,0.00461448379952452,4.10202437445087
"10","few","mov",0.293316121220696,0.257770064118577,0.151899052390395,0.11723741696577,0.0590012360225611,0.0402545350239849,0.0208109100247079,0.0146145640453452,0.0115456755855101,0.00866982095496753,0.00777375507884116,0.00516144158965058,0.00416380641438647,0.00414758514319878,0.0036340154214084,3.03739314875981
"11","few","move",0.0659327344493627,0.062706457076579,0.0412502777887485,0.030221181178286,0.0284619681709515,0.0391115854153456,0.152937265096403,0.180388303773876,0.135438825802604,0.100202529990539,0.0594394061149533,0.0432670621709253,0.0264850193979734,0.0204095158428967,0.0137478677305548,7.55689728127153
"12","few","poem",0.291471749928618,0.2326587605738,0.208369734569819,0.099105765342754,0.0432491944921317,0.026858629023907,0.0215352578355383,0.0149191631996919,0.0119728138123565,0.0102588810663177,0.00970944991158492,0.00845548513355962,0.00861423975059592,0.00738087576024652,0.00543999959907821,3.141350670199
