value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
10,1,0.00004226761137917303,pos_neg_null,bas,7,4,15
10,10,0.04638687971268023,pos_neg_null,bas,7,4,15
10,9,0.046092206327092405,pos_neg_null,bas,7,4,15
10,8,0.041300593992690864,pos_neg_null,bas,7,4,15
10,7,0.024480743415739036,pos_neg_null,bas,7,4,15
10,6,0.009438022578694251,pos_neg_null,bas,7,4,15
10,5,0.002758237759704822,pos_neg_null,bas,7,4,15
10,4,0.0007860780295544059,pos_neg_null,bas,7,4,15
10,3,0.00022512073198664788,pos_neg_null,bas,7,4,15
10,2,0.00008357294422445136,pos_neg_null,bas,7,4,15
9,3,0.00020998852146014206,pos_neg_null,bas,7,4,15
9,2,0.00007795532129312764,pos_neg_null,bas,7,4,15
9,1,0.00003942645859773939,pos_neg_null,bas,7,4,15
9,9,0.042835082462251366,pos_neg_null,bas,7,4,15
9,8,0.03852444237994529,pos_neg_null,bas,7,4,15
9,7,0.02283519189348149,pos_neg_null,bas,7,4,15
9,6,0.008803615683538943,pos_neg_null,bas,7,4,15
9,5,0.0025728339806140085,pos_neg_null,bas,7,4,15
9,4,0.000733239278860468,pos_neg_null,bas,7,4,15
8,8,0.021379227235391065,pos_neg_null,bas,7,4,15
8,7,0.022227603639109566,pos_neg_null,bas,7,4,15
8,6,0.008569373137635528,pos_neg_null,bas,7,4,15
8,5,0.002504377200642021,pos_neg_null,bas,7,4,15
8,4,0.0007137295862965549,pos_neg_null,bas,7,4,15
8,3,0.00020440124372727848,pos_neg_null,bas,7,4,15
8,2,0.00007588112205694758,pos_neg_null,bas,7,4,15
8,1,0.00003837741757074864,pos_neg_null,bas,7,4,15
11,7,0.01984788297615239,pos_neg_null,bas,7,4,15
11,6,0.007651923166180234,pos_neg_null,bas,7,4,15
11,5,0.002236254812418397,pos_neg_null,bas,7,4,15
11,4,0.0006373166237545584,pos_neg_null,bas,7,4,15
11,3,0.00018251773927356016,pos_neg_null,bas,7,4,15
11,2,0.00006775717504857258,pos_neg_null,bas,7,4,15
11,1,0.0000342686735483677,pos_neg_null,bas,7,4,15
11,11,0.037614408241751975,pos_neg_null,bas,7,4,15
11,10,0.03760872399365078,pos_neg_null,bas,7,4,15
11,9,0.03736948268918343,pos_neg_null,bas,7,4,15
11,8,0.033484659452191895,pos_neg_null,bas,7,4,15
7,7,0.000295016113589419,pos_neg_null,bas,7,4,15
7,6,0.00681255404335945,pos_neg_null,bas,7,4,15
7,5,0.0019909513508520847,pos_neg_null,bas,7,4,15
7,4,0.0005674068920671967,pos_neg_null,bas,7,4,15
7,3,0.0001624966607307965,pos_neg_null,bas,7,4,15
7,2,0.000060324627785591145,pos_neg_null,bas,7,4,15
7,1,0.000030509609868317247,pos_neg_null,bas,7,4,15
3,3,9.528230942211064e-13,pos_neg_null,bas,7,4,15
3,2,0.000056521929185926535,pos_neg_null,bas,7,4,15
3,1,0.000028586367985500565,pos_neg_null,bas,7,4,15
4,4,4.138845408303553e-10,pos_neg_null,bas,7,4,15
4,3,0.00014387240162124957,pos_neg_null,bas,7,4,15
4,2,0.00005341063033165547,pos_neg_null,bas,7,4,15
4,1,0.000027012806445014352,pos_neg_null,bas,7,4,15
5,5,5.5175546929750305e-8,pos_neg_null,bas,7,4,15
5,4,0.0004934326410956842,pos_neg_null,bas,7,4,15
5,3,0.00014131156599368657,pos_neg_null,bas,7,4,15
5,2,0.00005245995568173878,pos_neg_null,bas,7,4,15
5,1,0.000026531995974310157,pos_neg_null,bas,7,4,15
6,1,0.000025482954947319392,pos_neg_null,bas,7,4,15
6,6,0.0000035308471853389945,pos_neg_null,bas,7,4,15
6,2,0.00005038575644555817,pos_neg_null,bas,7,4,15
6,5,0.0016629292801529573,pos_neg_null,bas,7,4,15
6,4,0.0004739229485317631,pos_neg_null,bas,7,4,15
6,3,0.00013572428826082178,pos_neg_null,bas,7,4,15
2,2,1.2191449742725896e-16,pos_neg_null,bas,7,4,15
2,1,0.000024259073749163426,pos_neg_null,bas,7,4,15
12,6,0.005241176964590281,pos_neg_null,bas,7,4,15
12,12,0.02576396705638496,pos_neg_null,bas,7,4,15
12,10,0.02576005712320212,pos_neg_null,bas,7,4,15
12,9,0.025596189035830986,pos_neg_null,bas,7,4,15
12,5,0.0015317204518733051,pos_neg_null,bas,7,4,15
12,4,0.00043652937111759565,pos_neg_null,bas,7,4,15
12,3,0.000125015339272834,pos_neg_null,bas,7,4,15
12,11,0.025763950731717035,pos_neg_null,bas,7,4,15
12,1,0.000023472292978920192,pos_neg_null,bas,7,4,15
12,2,0.00004641020790954519,pos_neg_null,bas,7,4,15
12,8,0.02293528332375901,pos_neg_null,bas,7,4,15
12,7,0.013594787191573768,pos_neg_null,bas,7,4,15
1,1,1.0226223805377684e-22,pos_neg_null,bas,7,4,15
13,6,0.0031525142636176224,pos_neg_null,bas,7,4,15
13,12,0.015496762307712013,pos_neg_null,bas,7,4,15
13,3,0.00007519544615479544,pos_neg_null,bas,7,4,15
13,13,0.015496762320655671,pos_neg_null,bas,7,4,15
13,11,0.015496752488537463,pos_neg_null,bas,7,4,15
13,9,0.015395845546691666,pos_neg_null,bas,7,4,15
13,2,0.00002791526472026656,pos_neg_null,bas,7,4,15
13,5,0.000921314163789724,pos_neg_null,bas,7,4,15
13,4,0.0002625679457560216,pos_neg_null,bas,7,4,15
13,1,0.000014118343821585188,pos_neg_null,bas,7,4,15
13,10,0.015494410522894415,pos_neg_null,bas,7,4,15
13,7,0.008177125256756701,pos_neg_null,bas,7,4,15
13,8,0.01379533801410459,pos_neg_null,bas,7,4,15
14,14,0.014153389735592298,pos_neg_null,bas,7,4,15
14,5,0.000841447920489062,pos_neg_null,bas,7,4,15
14,1,0.000012894462623429215,pos_neg_null,bas,7,4,15
14,12,0.014153389723761765,pos_neg_null,bas,7,4,15
14,10,0.014151241808835476,pos_neg_null,bas,7,4,15
14,8,0.012599457319383466,pos_neg_null,bas,7,4,15
14,7,0.007468272293322668,pos_neg_null,bas,7,4,15
14,9,0.014061221164935132,pos_neg_null,bas,7,4,15
14,4,0.00023980663776478956,pos_neg_null,bas,7,4,15
14,6,0.0028792312933969035,pos_neg_null,bas,7,4,15
14,2,0.000025495365611389002,pos_neg_null,bas,7,4,15
14,3,0.00006867695546645463,pos_neg_null,bas,7,4,15
14,11,0.01415338075578501,pos_neg_null,bas,7,4,15
14,13,0.014153389735583397,pos_neg_null,bas,7,4,15
15,15,0.012234286042630589,pos_neg_null,bas,7,4,15
15,1,0.000011146060911777729,pos_neg_null,bas,7,4,15
15,5,0.0007273532872024063,pos_neg_null,bas,7,4,15
15,11,0.012234278280424277,pos_neg_null,bas,7,4,15
15,4,0.0002072904834915965,pos_neg_null,bas,7,4,15
15,2,0.000022038366884420866,pos_neg_null,bas,7,4,15
15,8,0.010891056326924654,pos_neg_null,bas,7,4,15
15,14,0.012234286042630577,pos_neg_null,bas,7,4,15
15,9,0.012154614905282869,pos_neg_null,bas,7,4,15
15,12,0.012234286032404184,pos_neg_null,bas,7,4,15
15,10,0.012232429360179766,pos_neg_null,bas,7,4,15
15,7,0.006455625202702617,pos_neg_null,bas,7,4,15
15,6,0.0024888270502244313,pos_neg_null,bas,7,4,15
15,3,0.000059364825911680866,pos_neg_null,bas,7,4,15
15,13,0.012234286042622883,pos_neg_null,bas,7,4,15
