value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
11,1,0.0021765949851909375,pos_neg_null,mov,1,1,10
11,10,0.008093182305829958,pos_neg_null,mov,1,1,10
11,2,0.003908192671524551,pos_neg_null,mov,1,1,10
12,1,0.002170097686727688,pos_neg_null,mov,1,1,10
12,9,0.00806897102992901,pos_neg_null,mov,1,1,10
12,7,0.008067029868159173,pos_neg_null,mov,1,1,10
12,10,0.008069023552678252,pos_neg_null,mov,1,1,10
12,6,0.008056285135492938,pos_neg_null,mov,1,1,10
12,3,0.00612470432205597,pos_neg_null,mov,1,1,10
12,4,0.00764677180409942,pos_neg_null,mov,1,1,10
12,2,0.0038965264247438794,pos_neg_null,mov,1,1,10
12,12,0.008069034249163455,pos_neg_null,mov,1,1,10
12,8,0.008068670176344857,pos_neg_null,mov,1,1,10
12,11,0.0080690329822775,pos_neg_null,mov,1,1,10
12,5,0.007997866084856529,pos_neg_null,mov,1,1,10
14,8,0.00804451248120609,pos_neg_null,mov,1,1,10
14,6,0.008032164521314805,pos_neg_null,mov,1,1,10
14,10,0.008044864799526511,pos_neg_null,mov,1,1,10
14,7,0.00804287708412276,pos_neg_null,mov,1,1,10
14,3,0.006106366883965986,pos_neg_null,mov,1,1,10
14,14,0.008044876006979288,pos_neg_null,mov,1,1,10
14,4,0.007623877277739838,pos_neg_null,mov,1,1,10
14,12,0.008044875777869458,pos_neg_null,mov,1,1,10
14,9,0.00804481243403101,pos_neg_null,mov,1,1,10
14,11,0.008044874200893424,pos_neg_null,mov,1,1,10
14,1,0.0021636003882644288,pos_neg_null,mov,1,1,10
14,13,0.008044875990513393,pos_neg_null,mov,1,1,10
14,2,0.0038848601779632183,pos_neg_null,mov,1,1,10
14,5,0.007973920378015632,pos_neg_null,mov,1,1,10
3,1,0.007836052103232629,pos_neg_null,mov,1,1,9
3,3,0.000007635208888809921,pos_neg_null,mov,1,1,9
3,2,0.013393841190273878,pos_neg_null,mov,1,1,9
4,3,0.01825356994513034,pos_neg_null,mov,1,1,9
4,2,0.011692857153493944,pos_neg_null,mov,1,1,9
4,1,0.006840893257489875,pos_neg_null,mov,1,1,9
4,4,0.0004703632676801544,pos_neg_null,mov,1,1,9
2,2,2.0408572340121905e-8,pos_neg_null,mov,1,1,9
2,1,0.006313656782924175,pos_neg_null,mov,1,1,9
5,5,0.0068896170157360884,pos_neg_null,mov,1,1,9
5,4,0.018624753289027234,pos_neg_null,mov,1,1,9
