value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
0.12,0.1,0.00001901544556261775,pos_neg_null,2-2x,6,adjective,5
0.12,0.09,0.000017048938225851038,pos_neg_null,2-2x,6,adjective,5
0.12,0.08,0.000015302810843613176,pos_neg_null,2-2x,6,adjective,5
0.12,0.07,0.00001375058902375448,pos_neg_null,2-2x,6,adjective,5
0.12,0.06,0.000012369170799592183,pos_neg_null,2-2x,6,adjective,5
0.12,0.05,0.000011138376490636375,pos_neg_null,2-2x,6,adjective,5
0.12,0.04,0.000010040560606020531,pos_neg_null,2-2x,6,adjective,5
0.12,0.03,0.000009060277140530873,pos_neg_null,2-2x,6,adjective,5
0.12,0.02,0.000008183990791250457,pos_neg_null,2-2x,6,adjective,5
0.12,0.01,0.000007399827655830375,pos_neg_null,2-2x,6,adjective,5
0.12,0,5.43472197519377e-8,pos_neg_null,2-2x,6,adjective,5
0.13,0.13,0.000008478413551282817,pos_neg_null,2-2x,6,adjective,5
0.13,0.12,0.00002346585382557185,pos_neg_null,2-2x,6,adjective,5
0.13,0.11,0.000020991421133559103,pos_neg_null,2-2x,6,adjective,5
0.13,0.1,0.000018799360953951564,pos_neg_null,2-2x,6,adjective,5
0.13,0.09,0.000016855200291466393,pos_neg_null,2-2x,6,adjective,5
0.13,0.08,0.000015128915265844893,pos_neg_null,2-2x,6,adjective,5
0.13,0.07,0.000013594332330302768,pos_neg_null,2-2x,6,adjective,5
0.13,0.06,0.000012228612040505947,pos_neg_null,2-2x,6,adjective,5
0.13,0.05,0.000011011804030515542,pos_neg_null,2-2x,6,adjective,5
0.13,0.04,0.000009926463326406622,pos_neg_null,2-2x,6,adjective,5
0.13,0.03,0.00000895731944575214,pos_neg_null,2-2x,6,adjective,5
0.13,0.02,0.000008090990895895378,pos_neg_null,2-2x,6,adjective,5
0.13,0.01,0.000007315738705195949,pos_neg_null,2-2x,6,adjective,5
0.13,0,7.786789679429094e-8,pos_neg_null,2-2x,6,adjective,5
0.14,0.14,0.000011524007521159365,pos_neg_null,2-2x,6,adjective,5
0.14,0.13,0.000025960410206936028,pos_neg_null,2-2x,6,adjective,5
0.14,0.12,0.000023196131367806813,pos_neg_null,2-2x,6,adjective,5
0.14,0.11,0.00002075014043087451,pos_neg_null,2-2x,6,adjective,5
0.14,0.1,0.00001858327634528558,pos_neg_null,2-2x,6,adjective,5
0.14,0.09,0.000016661462357081832,pos_neg_null,2-2x,6,adjective,5
0.14,0.08,0.000014955019688076556,pos_neg_null,2-2x,6,adjective,5
0.14,0.07,0.000013438075636851126,pos_neg_null,2-2x,6,adjective,5
0.14,0.06,0.000012088053281419666,pos_neg_null,2-2x,6,adjective,5
0.14,0.05,0.000010885231570394669,pos_neg_null,2-2x,6,adjective,5
0.14,0.04,0.000009812366046792819,pos_neg_null,2-2x,6,adjective,5
0.14,0.03,0.000008854361750973378,pos_neg_null,2-2x,6,adjective,5
0.14,0.02,0.000007997991000540255,pos_neg_null,2-2x,6,adjective,5
0.14,0.01,0.000007231649754561561,pos_neg_null,2-2x,6,adjective,5
0.14,0,1.0873358044585393e-7,pos_neg_null,2-2x,6,adjective,5
0.15,0.15,0.000015124544287378702,pos_neg_null,2-2x,6,adjective,5
0.15,0.14,0.000028749784834770885,pos_neg_null,2-2x,6,adjective,5
0.15,0.13,0.00002565854497197158,pos_neg_null,2-2x,6,adjective,5
0.15,0.12,0.000022926408910041387,pos_neg_null,2-2x,6,adjective,5
0.15,0.11,0.00002050885972818986,pos_neg_null,2-2x,6,adjective,5
0.15,0.1,0.000018367191736619415,pos_neg_null,2-2x,6,adjective,5
0.15,0.09,0.000016467724422697112,pos_neg_null,2-2x,6,adjective,5
0.15,0.08,0.000014781124110308181,pos_neg_null,2-2x,6,adjective,5
0.15,0.07,0.00001328181894339933,pos_neg_null,2-2x,6,adjective,5
0.15,0.06,0.000011947494522333356,pos_neg_null,2-2x,6,adjective,5
0.15,0.05,0.00001075865911027377,pos_neg_null,2-2x,6,adjective,5
0.15,0.04,0.00000969826876717892,pos_neg_null,2-2x,6,adjective,5
0.15,0.03,0.000008751404056194591,pos_neg_null,2-2x,6,adjective,5
0.15,0.02,0.000007904991105185112,pos_neg_null,2-2x,6,adjective,5
0.15,0.01,0.000007147560803927103,pos_neg_null,2-2x,6,adjective,5
0.15,0,1.4846584278161528e-7,pos_neg_null,2-2x,6,adjective,5
0.16,0.16,0.000019266696415276285,pos_neg_null,2-2x,6,adjective,5
0.16,0.15,0.0000318719387690479,pos_neg_null,2-2x,6,adjective,5
